update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1308,21349632,152.84581056563252,136877,3.9559180787000705,0.11952327913309922,0.0,3.9944443702697754,14.885361552028218,12.070965098709122,2.0,324.0,0.6792227793484926,3.631018180400133,0.002630247184242762,0.011081983757321723,0.06968339749068894,3.9559180787000705,0.11952327913309922,0.0,3.9944443702697754
1309,21366016,152.13215174219118,136985,3.9565051920422394,0.1195381876047292,0.0,3.9944443702697754,14.401943462897526,7.625517170921066,2.0,95.0,0.7582574300467968,3.6402063071727753,0.01583913171225504,0.015367370273452252,0.09693287778340791,3.9565051920422394,0.1195381876047292,0.0,3.9944443702697754
1310,21382400,153.32095582037965,137092,3.9576492105717995,0.01940082799591141,3.8499999046325684,3.9944443702697754,15.246282527881041,6.9842983171808335,2.0,54.0,0.8122828071936965,3.6310028173029423,0.018027046156930737,0.006990642294113059,0.07671285480800116,3.9576492105717995,0.01940082799591141,3.8499999046325684,3.9944443702697754
1311,21398784,149.53362547679654,137201,3.957692906246525,0.022660354585128134,3.691666603088379,3.9944443702697754,15.230552952202437,8.157728379215119,2.0,111.0,0.7833717204630375,3.6117969043552876,0.016069323683041148,0.009510551753919572,0.07423703104252795,3.957692906246525,0.022660354585128134,3.691666603088379,3.9944443702697754
1312,21415168,153.74481937259077,137308,3.954300159006595,0.12236718559459064,0.0,3.9944443702697754,15.130314232902034,8.12259494864658,2.0,81.0,0.7137512722983956,3.6078149303793907,-0.007328254080675833,0.015403364996018354,0.08867613950114389,3.954300159006595,0.12236718559459064,0.0,3.9944443702697754
1313,21431552,151.65383604314562,137416,3.9563738247314535,0.11873069253355167,0.0,3.9944443702697754,14.462412587412587,7.222390383436127,2.0,55.0,0.6282740533351898,3.630622535943985,-0.017514153887532302,0.013681767864909489,0.06702069735132937,3.9563738247314535,0.11873069253355167,0.0,3.9944443702697754
1314,21447936,151.2339985772628,137524,3.96011625655687,0.019127121835909075,3.836111068725586,3.9944443702697754,14.35814360770578,6.885765366312028,2.0,59.0,0.6261456487700343,3.645215194672346,-0.007251300447933318,0.006851842837932054,0.059476141457664916,3.96011625655687,0.019127121835909075,3.836111068725586,3.9944443702697754
1315,21464320,154.08806469921885,137631,3.9533049159487983,0.16571191708290364,0.0,3.9944443702697754,14.338821490467938,6.515314634072503,2.0,46.0,0.6206025211140513,3.6452544666826725,-0.0009452025797145325,0.01796043219655985,0.08699726806779437,3.9533049159487983,0.16571191708290364,0.0,3.9944443702697754
1316,21480704,152.92546411980007,137738,3.950742013125655,0.2025068233466198,0.0,3.9944443702697754,14.013009540329575,6.154473257132767,2.0,45.0,0.6055307928472757,3.650061059743166,-0.005469975176310982,0.018072804050461855,0.08571322923190255,3.950742013125655,0.2025068233466198,0.0,3.9944443702697754
1317,21497088,153.32360832715693,137845,3.9506479767542557,0.20149471806281918,0.0,3.9944443702697754,14.09433962264151,6.639557544925351,2.0,72.0,0.6040754867717624,3.6453294903039932,-0.0010131101062142989,0.02091000746440841,0.11735488911349422,3.9506479767542557,0.20149471806281918,0.0,3.9944443702697754
1318,21513472,148.42669109084767,137955,3.960671483952066,0.019143838180032107,3.730555534362793,3.9944443702697754,14.158260869565217,6.891784429855539,2.0,97.0,0.5802466524764895,3.642116129398346,-0.016725447530916426,0.006718427135638194,0.06003067143736778,3.960671483952066,0.019143838180032107,3.730555534362793,3.9944443702697754
1319,21529856,150.9829021920237,138063,3.9547299049563214,0.1632518749484034,0.0,3.9944443702697754,13.916876574307304,6.720194685320626,2.0,49.0,0.600838172249496,3.655612636357546,-0.001555767453282897,0.011266182227700483,0.06754640549217862,3.9547299049563214,0.1632518749484034,0.0,3.9944443702697754
1320,21546240,150.5627765606975,138172,3.96156461425379,0.017183926729853062,3.8972222805023193,3.9944443702697754,13.83673469387755,6.186215548068438,2.0,37.0,0.5988771198317409,3.6606802381575108,-0.003013118629496603,0.00482230743727996,0.04976144282145912,3.96156461425379,0.017183926729853062,3.8972222805023193,3.9944443702697754
1321,21562624,152.9216595043323,138279,3.9547278674632462,0.16404828700286359,0.0,3.9944443702697754,13.876910016977929,6.373301694785204,2.0,46.0,0.6256496263667941,3.6560832001268864,0.00887190104003821,0.017147322614619043,0.09049138957884709,3.9547278674632462,0.16404828700286359,0.0,3.9944443702697754
1322,21579008,151.04711525321366,138388,3.957817349826208,0.1167948408720872,0.0,3.9944443702697754,13.976251060220525,6.673618196943866,2.0,60.0,0.7081532729789615,3.653594497591257,0.010129912079264614,0.011889379889908014,0.07001160795074558,3.957817349826208,0.1167948408720872,0.0,3.9944443702697754
1323,21595392,149.60064028342484,138497,3.9545433530068483,0.12182902977447124,0.0,3.9944443702697754,15.043357933579335,7.2248394163082095,2.0,71.0,0.7919749924913049,3.6325958259403706,0.02653646096587181,0.011703334872436244,0.08781366271440295,3.9545433530068483,0.12182902977447124,0.0,3.9944443702697754
1324,21611776,152.6027875727329,138605,3.953076150707419,0.12389713405600843,0.0,3.9944443702697754,15.549429657794677,7.911369162927756,2.0,75.0,0.8044035220518708,3.6152249686419964,0.020668344273872208,0.014673358098661993,0.08552921754170298,3.953076150707419,0.12389713405600843,0.0,3.9944443702697754
1325,21628160,152.64284379443964,138712,3.9531216837110974,0.12369530374210273,0.0,3.9944443702697754,15.516190476190475,7.230637511372125,2.0,49.0,0.7721628230065107,3.6114307530224323,0.0006639775401708903,0.013632273337861989,0.10048070533343384,3.9531216837110974,0.12369530374210273,0.0,3.9944443702697754
1326,21644544,150.18445222720442,138821,3.9581001566274323,0.022590203047739,3.7333333492279053,3.9944443702697754,15.083941605839415,8.132472833692757,2.0,96.0,0.7184308851137757,3.6185852512717247,-0.0004911999631076469,0.010097917307575699,0.07064437678149314,3.9581001566274323,0.022590203047739,3.7333333492279053,3.9944443702697754
1327,21660928,152.17938266262632,138929,3.956147091517749,0.11965736644012112,0.0,3.9944443702697754,14.51907719609583,7.362302348136797,2.0,95.0,0.6917566983029246,3.63627665117383,-0.003897020286785846,0.011103648888820317,0.07243513891154525,3.956147091517749,0.11965736644012112,0.0,3.9944443702697754
1328,21677312,150.2505360095315,139038,3.951368460102993,0.17063374092023167,0.0,3.9944443702697754,14.873161764705882,6.861852155449281,2.0,48.0,0.7343944134190679,3.62528994679451,0.004390869393773755,0.01408085682487581,0.08233513141370113,3.951368460102993,0.17063374092023167,0.0,3.9944443702697754
